Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
20;20000;400;;;;;;;;;
20;40000;200;;;;;;;;;
20;60000;300;;;;;;;;;
20;80000;300;;;;;;;;;
20;100000;300;;;;;;;;;
21;20000;400;;;;;;;;;
21;40000;200;;;;;;;;;
21;60000;300;;;;;;;;;
21;80000;300;;;;;;;;;
21;100000;300;;;;;;;;;
22;20000;400;;;;;;;;;
22;40000;400;;;;;;;;;
22;60000;300;;;;;;;;;
22;80000;200;;;;;;;;;
22;100000;300;;;;;;;;;
23;20000;500;;;;;;;;;
23;40000;300;;;;;;;;;
23;60000;300;;;;;;;;;
23;80000;200;;;;;;;;;
23;100000;200;;;;;;;;;
24;20000;400;;;;;;;;;
24;40000;300;;;;;;;;;
24;60000;200;;;;;;;;;
24;80000;200;;;;;;;;;
24;100000;200;;;;;;;;;
;;;;;;;;;;;
Step;Qtd. de entradas do índice;Uso de memória(bytes);;;;;;;;;
0;20000;47998264;;;;;;;;;
0;40000;143874984;;;;;;;;;
0;60000;303192696;;;;;;;;;
0;80000;482748720;;;;;;;;;
0;100000;671153888;;;;;;;;;
1;20000;48008720;;;;;;;;;
1;40000;143885440;;;;;;;;;
1;60000;303203152;;;;;;;;;
1;80000;482759176;;;;;;;;;
1;100000;671164344;;;;;;;;;
2;20000;48019120;;;;;;;;;
2;40000;143895840;;;;;;;;;
2;60000;303213552;;;;;;;;;
2;80000;482769576;;;;;;;;;
2;100000;671174744;;;;;;;;;
3;20000;48029520;;;;;;;;;
3;40000;143906240;;;;;;;;;
3;60000;303223952;;;;;;;;;
3;80000;482779976;;;;;;;;;
3;100000;671185144;;;;;;;;;
4;20000;48039920;;;;;;;;;
4;40000;143916640;;;;;;;;;
4;60000;303234352;;;;;;;;;
4;80000;482790376;;;;;;;;;
4;100000;671195544;;;;;;;;;
5;20000;48050320;;;;;;;;;
5;40000;143927040;;;;;;;;;
5;60000;303244752;;;;;;;;;
5;80000;482800776;;;;;;;;;
5;100000;671205944;;;;;;;;;
6;20000;48060720;;;;;;;;;
6;40000;143937440;;;;;;;;;
6;60000;303255152;;;;;;;;;
6;80000;482811176;;;;;;;;;
6;100000;671216344;;;;;;;;;
7;20000;48071120;;;;;;;;;
7;40000;143947840;;;;;;;;;
7;60000;303265552;;;;;;;;;
7;80000;482821576;;;;;;;;;
7;100000;671226744;;;;;;;;;
8;20000;48081520;;;;;;;;;
8;40000;143958240;;;;;;;;;
8;60000;303275952;;;;;;;;;
8;80000;482831976;;;;;;;;;
8;100000;671237144;;;;;;;;;
9;20000;48091920;;;;;;;;;
9;40000;143968640;;;;;;;;;
9;60000;303286352;;;;;;;;;
9;80000;482842376;;;;;;;;;
9;100000;671247544;;;;;;;;;
10;20000;48102320;;;;;;;;;
10;40000;143979040;;;;;;;;;
10;60000;303296752;;;;;;;;;
10;80000;482852776;;;;;;;;;
10;100000;671257944;;;;;;;;;
11;20000;48112744;;;;;;;;;
11;40000;143989464;;;;;;;;;
11;60000;303307176;;;;;;;;;
11;80000;482863200;;;;;;;;;
11;100000;671268368;;;;;;;;;
12;20000;48123144;;;;;;;;;
12;40000;143999864;;;;;;;;;
12;60000;303317576;;;;;;;;;
12;80000;482873600;;;;;;;;;
12;100000;671278768;;;;;;;;;
13;20000;48133544;;;;;;;;;
13;40000;144010264;;;;;;;;;
13;60000;303327976;;;;;;;;;
13;80000;482884000;;;;;;;;;
13;100000;671289168;;;;;;;;;
14;20000;48143944;;;;;;;;;
14;40000;144020664;;;;;;;;;
14;60000;303338376;;;;;;;;;
14;80000;482894400;;;;;;;;;
14;100000;671299568;;;;;;;;;
15;20000;48154344;;;;;;;;;
15;40000;144031064;;;;;;;;;
15;60000;303348776;;;;;;;;;
15;80000;482904800;;;;;;;;;
15;100000;671309968;;;;;;;;;
16;20000;48166040;;;;;;;;;
16;40000;144042760;;;;;;;;;
16;60000;303360472;;;;;;;;;
16;80000;482916496;;;;;;;;;
16;100000;671321664;;;;;;;;;
17;20000;48176440;;;;;;;;;
17;40000;144053160;;;;;;;;;
17;60000;303370872;;;;;;;;;
17;80000;482926896;;;;;;;;;
17;100000;671332064;;;;;;;;;
18;20000;48186840;;;;;;;;;
18;40000;144063560;;;;;;;;;
18;60000;303381272;;;;;;;;;
18;80000;482937296;;;;;;;;;
18;100000;671342464;;;;;;;;;
19;20000;48197240;;;;;;;;;
19;40000;144073960;;;;;;;;;
19;60000;303391672;;;;;;;;;
19;80000;482947696;;;;;;;;;
19;100000;671352864;;;;;;;;;
20;20000;48207640;;;;;;;;;
20;40000;144084360;;;;;;;;;
20;60000;303402072;;;;;;;;;
20;80000;482958096;;;;;;;;;
20;100000;671363264;;;;;;;;;
21;20000;48218040;;;;;;;;;
21;40000;144094760;;;;;;;;;
21;60000;303412472;;;;;;;;;
21;80000;482968496;;;;;;;;;
21;100000;671373664;;;;;;;;;
22;20000;48228440;;;;;;;;;
22;40000;144105160;;;;;;;;;
22;60000;303422872;;;;;;;;;
22;80000;482978896;;;;;;;;;
22;100000;671384064;;;;;;;;;
23;20000;48238944;;;;;;;;;
23;40000;144115664;;;;;;;;;
23;60000;303433376;;;;;;;;;
23;80000;482989400;;;;;;;;;
23;100000;671394568;;;;;;;;;
24;20000;48249344;;;;;;;;;
24;40000;144126064;;;;;;;;;
24;60000;303443776;;;;;;;;;
24;80000;482999800;;;;;;;;;
24;100000;671404968;;;;;;;;;
;;;;;;;;;;;
Step;Chunk;Tempo consulta(ms);Tempo de busca no índice(ns);Tempo do cálculo de relevância(ms);Tempo da ordenação do resultado(ms);;;;;;
0;1;1117;2280700;516;597;;;;;;
0;2;1257;1738100;574;679;;;;;;
0;3;1467;1893800;625;837;;;;;;
0;4;1556;1832400;570;983;;;;;;
0;5;1220;2133200;516;701;;;;;;
0;6;1581;1861700;642;936;;;;;;
0;7;915;1683200;338;575;;;;;;
0;8;1528;1830100;661;865;;;;;;
0;9;1392;1862800;583;806;;;;;;
0;10;1267;1770300;467;797;;;;;;
0;11;1716;3647700;721;990;;;;;;
0;12;3233;3836500;1375;1852;;;;;;
0;13;2708;3842700;986;1716;;;;;;
0;14;3004;3855000;1212;1787;;;;;;
0;15;2724;3842500;977;1741;;;;;;
0;16;3271;4018900;1265;2000;;;;;;
0;17;2083;3643100;843;1234;;;;;;
0;18;2406;3813900;973;1427;;;;;;
0;19;2179;3590900;858;1315;;;;;;
0;20;2133;3943600;867;1260;;;;;;
